visa,country,sum
TOTAL,Israel,8121
TOTAL,Italy,13787
TOTAL,Japan,83073
TOTAL,Jordan,4752
TOTAL,Kazakhstan,1774
TOTAL,Kenya,4306
TOTAL,Kiribati,7079
TOTAL,"South Korea, Democratic People's Republic of",21
TOTAL,South Korea,154111
TOTAL,Kosovo,187
TOTAL,Kuwait,4842
TOTAL,Kyrgyzstan,355
TOTAL,Laos,1763
TOTAL,Latvia,1310
TOTAL,Lebanon,3506
TOTAL,Liberia,105
TOTAL,Lithuania,903
TOTAL,Macau (Special Administrative Region),1663
TOTAL,Malawi,510
TOTAL,Malaysia,75295
TOTAL,Maldives,1340
TOTAL,Mali,153
TOTAL,Malta,1009
TOTAL,Mauritius,1670
TOTAL,Mexico,8832
TOTAL,Mongolia,916
TOTAL,Morocco,567
TOTAL,Mozambique,343
TOTAL,Myanmar,2234
TOTAL,Namibia,1233
TOTAL,Nauru,689
TOTAL,Nepal,17644
TOTAL,Netherlands,25288
TOTAL,New Caledonia,6570
TOTAL,New Zealand,15316
TOTAL,Nigeria,2703
TOTAL,Niue,4084
TOTAL,Norfolk Island,880
TOTAL,North Macedonia,1421
TOTAL,Norway,4326
TOTAL,Not Stated,573783
TOTAL,Oceania and Antarctica,1309708
TOTAL,Oman,5930
TOTAL,Pakistan,16953
TOTAL,Panama,462
TOTAL,Papua New Guinea,8357
TOTAL,Paraguay,249
TOTAL,Peru,3359
TOTAL,Philippines,230522
TOTAL,Pitcairn,185
TOTAL,Poland,3970
TOTAL,Portugal,1960
TOTAL,Qatar,9172
TOTAL,Reunion,194
TOTAL,Romania,5735
TOTAL,Russia,21201
TOTAL,Rwanda,375
TOTAL,Samoa,109339
TOTAL,"Samoa, American",4040
TOTAL,Saudi Arabia,25690
TOTAL,Senegal,147
TOTAL,Serbia,1626
TOTAL,Seychelles,416
TOTAL,Singapore,62082
TOTAL,Slovakia,1712
TOTAL,Slovenia,1318
TOTAL,Solomon Islands,4444
TOTAL,Somalia,1206
TOTAL,South Africa,207232
TOTAL,Spain,13163
TOTAL,Sri Lanka,42240
TOTAL,Sudan,1171
TOTAL,Sweden,9611
TOTAL,Switzerland,12389
TOTAL,Syria,1901
TOTAL,TOTAL,5505562
TOTAL,Taiwan,31650
TOTAL,Tajikistan,180
TOTAL,Tanzania,1502
TOTAL,Thailand,51843
TOTAL,The Americas,403723
TOTAL,Timor-Leste,977
TOTAL,Tokelau,2245
TOTAL,Tonga,57304
TOTAL,Trinidad and Tobago,479
TOTAL,Tunisia,228
TOTAL,Turkey,5117
